state,a0,a1,a2,a3,a4
0,-94.203377,-163.445551,-178.132077,-172.275323,-168.914878
1,-78.388657,-164.945314,-183.794982,-187.306060,-180.470655
2,-175.373455,-228.928741,-227.806809,-228.244295,-228.274968
3,-44.329426,-39.551970,-53.536841,-44.655583,-43.075398
4,-81.040418,-149.405110,-143.652342,-149.471749,-133.473158
5,-203.511800,-205.020818,-201.322303,-179.709129,-205.255752
6,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,-16.895458,0.000000,0.000000,0.000000
8,-194.588205,-196.636754,-189.581971,-185.438308,-164.135889
9,-47.033527,-40.576416,-56.056121,-53.108610,-58.058059
10,-14.593616,-56.139056,-61.922923,-61.147512,-43.173909
11,-14.014437,-7.468360,-6.829596,-25.886387,-24.492692
12,-3.246947,-21.604172,-36.098477,-38.033390,-34.246694
13,12.067353,24.747878,14.670556,7.087373,9.802680
14,-12.167117,-27.194345,-36.113117,-55.719029,-55.943621
15,-1.102255,2.318593,0.000000,0.000000,0.000000
16,4.983063,14.496505,7.854576,22.195261,4.605983
17,-64.646877,-113.104213,-96.996143,-109.716453,-111.511022
18,-43.191658,-11.530409,-46.059025,-48.921693,-46.152159
19,-11.950221,-14.558105,-4.886166,-25.972415,-23.664629
20,-59.279854,-38.224115,-56.113765,-53.307535,-91.823565
21,9.346301,-9.627957,-9.461932,-9.137547,-10.701240
22,17.157404,19.544223,40.481510,24.350385,15.063997
23,-15.540712,-21.788572,-22.067422,-22.781573,-22.754894
24,-17.498089,-16.672988,-6.677302,-16.794411,-16.210028
25,-4.686288,-13.822638,-8.692357,23.629413,-2.515796
26,-161.780633,-169.915761,-157.844685,-118.732149,-165.924696
