episode,reward
0,-12752.0000
1,-10966.7000
2,-6722.3000
3,-12680.7000
4,-14123.3000
5,-9454.6000
6,-12762.5000
7,-11862.7000
8,-9978.5000
9,-11338.7000
10,-11530.2000
11,-9887.2000
12,-9686.9000
13,-10511.5000
14,-6373.1000
15,-10486.6000
16,-10132.3000
17,-12881.9000
18,-4766.7000
19,-10995.7000
20,-9179.8000
21,-6939.8000
22,-11893.8000
23,-13914.3000
24,-6259.8000
25,-10752.9000
26,-12587.1000
27,-11917.9000
28,-9286.7000
29,-7637.1000
30,-10231.7000
31,-6450.0000
32,-6463.2000
33,-8238.0000
34,-3365.8000
35,-7681.7000
36,-4344.3000
37,-3377.7000
38,-10232.5000
39,-7669.0000
40,-8186.8000
41,-7766.8000
42,-11616.8000
43,-4199.7000
44,-7624.0000
45,-4927.8000
46,-7100.6000
47,-10100.5000
48,-11222.7000
49,-5685.5000
50,-7109.1000
51,-3404.8000
52,-9462.6000
53,-2603.2000
54,-7388.9000
55,-2000.9000
56,-2361.2000
57,-2980.8000
58,-4040.6000
59,-5264.3000
60,-2783.4000
61,-7977.4000
62,-4348.5000
63,-11677.8000
64,-8779.2000
65,-10365.4000
66,-8501.2000
67,-12686.8000
68,-1296.7000
69,-4507.9000
70,-3315.4000
71,-4985.2000
72,-3098.3000
73,-879.3000
74,-1232.8000
75,-4495.3000
76,-2217.9000
77,-2026.8000
78,-5508.2000
79,-6057.6000
80,-7057.5000
81,-4377.5000
82,-4337.3000
83,-3623.5000
84,-2076.8000
85,-4075.9000
86,-3909.1000
87,-2698.7000
88,-3080.9000
89,-3167.2000
90,-2010.5000
91,-1483.2000
92,-4381.9000
93,-1799.2000
94,-3322.0000
95,-2378.1000
96,-1897.1000
97,-1268.5000
98,-1107.7000
99,-1815.4000
100,-7006.5000
101,-1039.0000
102,-10281.3000
103,-5628.9000
104,-2710.3000
105,-2892.6000
106,-1866.5000
107,-12673.4000
108,-1110.8000
109,-1817.5000
110,-3366.5000
111,-227.9000
112,-7389.1000
113,-2374.0000
114,-727.9000
115,-2494.4000
116,-4510.7000
117,-1697.3000
118,-2197.5000
119,-1361.3000
120,-7187.8000
121,-3370.6000
122,-6382.4000
123,-13073.2000
124,-12457.0000
125,-1130.6000
126,-1855.4000
