state,a0,a1,a2,a3,a4
0,-277.567993,-276.549144,-279.268932,-276.759704,-269.907826
1,-265.341996,-264.413141,-263.847490,-263.323455,-237.492221
2,-256.900284,-256.882474,-257.383239,-260.059421,-243.377646
3,-19.138317,-5.650989,-20.178368,0.000000,0.000000
4,-122.183529,-125.790422,-129.909839,-126.205322,-70.287876
5,-225.491813,-223.230423,-216.605254,-227.523532,-160.257149
6,5.000000,3.000000,0.000000,0.000000,0.000000
7,4.083000,-7.200207,4.258000,-0.853800,0.000000
8,-225.154411,-224.877617,-225.625712,-224.515164,-187.299106
9,-47.851392,-112.277380,-111.512160,-115.380006,-112.930632
10,-46.960099,-84.154776,-68.003785,-78.857849,-74.227315
11,-13.673624,-2.983250,-7.823104,-17.166269,-16.805991
12,-9.661884,-46.280747,-50.682436,-48.521747,-54.096977
13,-0.902144,-3.477792,-22.114529,-11.516220,-8.300478
14,-131.960606,-131.622061,-133.491946,-133.194197,-133.142292
15,5.000000,3.000000,0.000000,0.000000,0.000000
16,8.902789,-19.764069,-17.875085,-17.317705,-20.127113
17,-182.806228,-184.343976,-184.539457,-186.985724,-183.804390
18,-111.738171,-35.743142,-132.591698,-103.486148,-151.061114
19,-20.850017,-33.614906,-45.408043,-47.330285,-46.664630
20,-25.263448,-26.942975,-26.272857,-28.358431,-28.001033
21,-43.435741,-8.378517,-37.368809,-42.408003,-35.591912
22,-4.878975,3.772639,22.827995,1.365494,5.410784
23,-57.058097,-55.896076,-34.169510,-53.581285,-54.392488
24,-39.891692,-26.951383,-35.120739,-40.824206,-40.701812
25,-27.398419,-26.802656,-25.806382,-9.209606,-26.140428
26,-182.837368,-182.970950,-182.879985,-183.130004,-31.920802
