episode,reward
0,-7086.1000
1,-5913.3000
2,-10362.7000
3,-11030.6000
4,-7797.8000
5,-915.1000
6,-3738.1000
7,-9011.2000
8,-2544.9000
9,-681.7000
10,-729.9000
11,-2942.7000
12,-288.0000
13,-2399.2000
14,-1224.5000
15,-1202.3000
16,-401.4000
17,-1990.2000
18,-945.1000
19,-1676.7000
20,-9434.7000
21,-11640.7000
22,-7080.7000
23,-2329.5000
24,-5955.2000
25,-1965.7000
26,-4000.8000
27,-2805.4000
28,-2705.0000
29,-757.4000
30,-119.2000
31,-91.3000
32,-556.6000
33,-546.6000
34,69.7000
35,-813.1000
36,285.6000
37,107.1000
38,351.2000
39,279.0000
40,-297.4000
41,-673.0000
42,56.2000
43,141.8000
44,-1625.3000
45,-10153.5000
46,110.2000
47,-5695.0000
48,-3781.6000
49,-4612.3000
50,-1353.7000
51,-753.7000
52,-1958.0000
53,-2926.0000
54,-1237.1000
55,-754.8000
56,-1110.8000
57,282.6000
58,-514.4000
59,-530.5000
60,-297.6000
61,-674.5000
62,-672.5000
63,-678.9000
64,1.3000
65,-500.2000
66,425.9000
67,468.3000
68,-2356.3000
69,-2318.3000
70,-485.3000
71,-1915.2000
72,-1968.0000
73,-182.6000
74,-2380.3000
75,-2359.7000
76,-1152.8000
77,-1062.8000
78,-385.9000
79,-1593.8000
80,224.6000
81,40.7000
82,69.6000
83,438.2000
84,165.4000
85,292.0000
86,-242.5000
87,24.1000
88,118.9000
89,-230.4000
90,342.7000
91,-682.3000
92,703.5000
93,-2175.2000
94,882.4000
95,899.3000
96,584.7000
97,284.9000
98,514.3000
99,777.6000
100,510.1000
101,-302.8000
102,-649.2000
103,62.5000
104,-194.3000
105,143.3000
106,-1265.6000
107,5.6000
108,548.0000
109,-464.8000
110,278.0000
111,-384.6000
112,201.4000
113,419.2000
114,-110.3000
115,118.7000
116,-1872.4000
117,-737.7000
118,640.2000
119,1092.7000
120,-6866.6000
121,-42.5000
122,481.1000
123,-642.4000
124,-739.0000
125,-910.5000
126,-2654.1000
127,-242.4000
128,-256.0000
129,122.8000
130,-642.1000
131,753.4000
132,625.8000
133,114.8000
134,186.8000
135,-137.0000
136,329.4000
137,-121.6000
138,113.0000
139,276.5000
140,45.5000
141,-775.0000
142,506.3000
143,125.4000
144,-6689.3000
145,44.6000
146,-321.5000
147,-9022.4000
148,-11752.4000
149,311.5000
150,-6746.0000
151,886.3000
152,380.6000
153,-84.8000
154,496.3000
155,-84.1000
156,309.7000
157,-565.6000
158,723.8000
159,153.4000
160,-1193.7000
161,-1876.6000
162,292.9000
163,401.5000
164,-7336.3000
165,-8610.0000
166,-11427.3000
167,-8494.1000
168,-6031.0000
169,-638.4000
170,-8791.5000
171,-4605.2000
172,830.4000
173,-38.7000
174,488.3000
175,517.7000
176,230.5000
177,539.3000
178,-230.9000
179,510.0000
180,-15.3000
181,543.1000
182,595.8000
183,754.3000
184,557.5000
185,401.2000
186,217.2000
187,480.5000
188,-3.7000
189,-377.7000
190,818.9000
191,-2327.4000
192,-6286.2000
193,-222.5000
194,257.0000
195,1038.8000
196,947.5000
197,599.1000
198,402.7000
199,805.2000
200,588.4000
201,760.3000
202,735.6000
203,825.7000
204,822.1000
205,704.0000
206,543.3000
207,254.0000
208,232.7000
209,874.4000
210,656.2000
211,714.5000
212,597.6000
213,-2775.2000
214,1199.0000
215,-455.5000
216,-6213.9000
217,-129.3000
218,-300.8000
219,1391.0000
220,469.9000
221,-100.0000
222,-1983.9000
223,-2019.3000
224,496.2000
225,746.3000
226,739.8000
227,1129.7000
228,818.0000
229,198.9000
230,886.5000
231,864.0000
232,744.8000
233,689.3000
234,868.6000
235,657.0000
236,-339.7000
237,-663.7000
238,-3455.2000
239,-5419.9000
240,-5867.4000
241,-4617.3000
242,551.8000
243,-617.2000
244,843.0000
245,397.7000
246,-694.2000
247,-1377.5000
248,459.3000
249,817.1000
250,978.5000
251,-2279.1000
252,-161.3000
253,-625.7000
254,419.3000
255,-48.6000
256,670.8000
257,380.9000
258,-60.7000
259,684.7000
260,-129.3000
261,-508.4000
262,-82.6000
263,-149.1000
264,1032.3000
265,-365.2000
266,883.6000
267,-664.0000
268,819.7000
269,783.3000
270,213.7000
271,917.2000
272,489.6000
273,530.5000
274,-4870.4000
275,-2499.6000
276,598.1000
277,826.9000
278,848.2000
279,163.2000
280,-277.2000
281,-336.3000
282,675.4000
283,56.1000
284,-2397.9000
285,297.0000
286,-1982.9000
287,-1333.1000
288,753.7000
289,785.7000
290,858.7000
291,1376.6000
292,-403.0000
293,746.3000
294,-1192.8000
295,-538.5000
296,581.9000
297,391.6000
298,23.2000
299,216.0000
